IDCliente,Prefijo,Nombre,Apellido,Nacimiento,EstadoCivil,Género,correo-e,IngresoAnual,Hijos,NivelEducativo,Ocupacion
20876,Sr.,Jon,Yang,11/2/1990,Casado,M,yangjon1990@ciclovida.com,18000,2,Educacion Universitaria Completa,Profesional
20877,Sr.,Eugene,Huang,19/3/1989,Soltero,M,huangeugene1989@ciclovida.com,12000,3,Educacion Universitaria Completa,Profesional
20878,Sr.,Ruben,Torres,17/6/1989,Casado,M,torresruben1989@ciclovida.com,12000,3,Educacion Universitaria Completa,Profesional
20879,Srita.,Christy,Zaldivar,21/12/1991,Soltero,F,zaldivarchristy1991@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20880,Sra.,Elizabeth,Johnson,13/6/1992,Soltero,F,johnsonelizabeth1992@ciclovida.com,16000,5,Educacion Universitaria Completa,Profesional
20881,Sr.,Julio,Ruiz,10/6/1989,Soltero,M,ruizjulio1989@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20883,Sr.,Marco,Martinez,14/3/1988,Casado,M,martinezmarco1988@ciclovida.com,12000,3,Educacion Universitaria Completa,Profesional
20884,Sra.,Robin,Verhoff,12/5/1988,Soltero,F,verhoffrobin1988@ciclovida.com,12000,4,Educacion Universitaria Completa,Profesional
20885,Sr.,Shannon,Carlson,5/2/1988,Soltero,M,carlsonshannon1988@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20886,Srita.,Jacquelyn,Suarez,12/12/1987,Soltero,F,suarezjacquelyn1987@ciclovida.com,14000,0,Educacion Universitaria Completa,Profesional
20887,Sr.,Curtis,Lu,9/9/1987,Casado,M,lucurtis1987@ciclovida.com,12000,4,Educacion Universitaria Completa,Profesional
20888,Sra.,Lauren,Walker,23/11/1991,Casado,F,walkerlauren1991@ciclovida.com,20000,2,Educacion Universitaria Completa,Administrativo
20889,Sr.,Ian,Jenkins,11/6/1992,Casado,M,jenkinsian1992@ciclovida.com,20000,2,Educacion Universitaria Completa,Administrativo
20890,Sra.,Sydney,Bennett,14/3/1992,Soltero,F,bennettsydney1992@ciclovida.com,20000,3,Educacion Universitaria Completa,Administrativo
20891,Srita.,Chloe,Zaldivar,2/1/2003,Soltero,F,zaldivarchloe2003@ciclovida.com,6000,0,Educacion Secundaria Completa,Operativo Calificado
20892,Sr.,Wyatt,Hill,3/3/2003,Casado,M,hillwyatt2003@ciclovida.com,6000,0,Educacion Universitaria Completa,Operativo Calificado
20893,Sra.,Shannon,Wang,1/5/1968,Soltero,F,wangshannon1968@ciclovida.com,4000,4,Educacion Secundaria Incompleta,Operativo Calificado
20894,Sr.,Clarence,Rai,14/8/1968,Soltero,M,raiclarence1968@ciclovida.com,6000,2,Educacion Universitaria Completa,Oficinista
20895,Sr.,Luke,Lal,10/1/2002,Soltero,M,lalluke2002@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
20896,Sr.,Jordan,King,26/7/2002,Soltero,M,kingjordan2002@ciclovida.com,8000,0,Educacion Secundaria Completa,Operativo Calificado
20897,Srita.,Destiny,Wilson,9/7/2002,Soltero,F,wilsondestiny2002@ciclovida.com,8000,0,Educacion Universitaria Completa,Operativo Calificado
