id_cliente,numero_cuenta,nombre,apellido,ciudad_cliente,pais_cliente,fecha_nacimiento,estado_civil,ingreso_anual,genero,numero_hijos,hijos_en_casa,nivel_educativo,fecha_apertura_cuenta,tipo_membresia,ocupacion,vivienda_propia
1,306117086408-3, Irene, Ortiz,Trujillo,Perú,26/8/1991,Casado,$6K-$10K,F,4,2,Educación Secundaria Incompleta,9/10/2021,Frescura,Operativa Calificada,Si
2,306147052047-2, Esteban, Gómez,Quito,Ecuador,7/3/1945,Soltero,$14K-$18K,M,1,0,Educación Secundaria Incompleta,3/11/2023,Frescura,Profesional,No
3,306165151600-9, Araceli, Arias,Cali,Colombia,21/6/1940,Casado,$10K-$14K,F,1,1,Educación Universitaria Completa,6/11/2021,Frescura,Profesional,Si
4,306251687704-6, Raúl, Pinto,Quito,Ecuador,20/6/1999,Casado,$2K-$6K,M,4,4,Educación Secundaria Incompleta,21/5/2024,Básica,Operativa Calificada,No
5,306299189627-7, Asunción, Martínez,Bogotá,Colombia,5/10/1981,Soltero,$6K-$10K,F,3,0,Educación Universitaria Incompleta,21/8/2022,Selecta,Operativa Básica,No
6,306312238572-0, Beatriz, Miranda,Cali,Colombia,10/8/1972,Soltero,$14K-$18K,F,3,0,Educación Universitaria Completa,4/5/2022,Frescura,Profesional,Si
7,306324104800-2, Miriam, Solano,Trujillo,Perú,27/3/1979,Casado,$6K-$10K,F,2,1,Educación Secundaria Incompleta,5/1/2021,Frescura,Operativa Básica,Si
8,306389105320-3, Mario, Flores,Lima,Perú,8/10/1952,Casado,$10K-$14K,M,2,2,Educación Universitaria Completa,6/11/2022,Frescura,Profesional,Si
9,306406791803-0, Germán, Araya,Quito,Ecuador,23/6/2009,Casado,$2K-$6K,M,5,3,Educación Secundaria Incompleta,14/11/2023,Básica,Operativa Calificada,Si
10,306490492819-5, Julián, Morales,Medellín,Colombia,26/8/1979,Soltero,$6K-$10K,M,4,0,Educación Universitaria Completa,5/4/2023,Premium,Gerencial,No
11,306504874823-6, Wilmer, Sánchez,Bogotá,Colombia,20/6/1997,Soltero,$10K-$14K,M,4,0,Educación Secundaria Completa,23/4/2022,Frescura,Operativa Básica,No
12,306527330277-5, Encarnación, Barrios,Bogotá,Colombia,18/10/2001,Soltero,$6K-$10K,F,1,0,Educación Secundaria Completa,7/6/2021,Frescura,Operativa Calificada,No
13,306554930210-0, Manuel, Morales,Chiclayo,Perú,10/12/2005,Soltero,$6K-$10K,M,4,0,Educación Secundaria Completa,10/9/2020,Frescura,Operativa Básica,No
14,306574193835-8, Dolores, Aguirre,Bogotá,Colombia,7/9/1942,Casado,$10K-$14K,F,2,2,Educación Universitaria Completa,19/10/2022,Frescura,Gerencial,Si
15,306592124402-0, Julián, Cardenas,Quito,Ecuador,11/5/1971,Soltero,$18K-22K,M,3,0,Postgrado Universitario,8/9/2021,Frescura,Profesional,Si
16,306611500678-8, Encarnación, Medina,Cajamarca,Perú,6/2/1949,Casado,$10K-$14K,F,2,2,Educación Secundaria Completa,17/12/2023,Frescura,Operativa Calificada,Si
17,306689155994-2, Ricardo, Villalobos,Bogotá,Colombia,20/3/1958,Soltero,$18K-22K,M,3,0,Educación Secundaria Completa,23/10/2023,Frescura,Gerencial,Si
18,306731795073-7, Raúl, Cáceres,Bogotá,Colombia,21/9/1944,Casado,$6K-$10K,M,3,2,Educación Universitaria Incompleta,24/10/2022,Frescura,Profesional,Si
19,306777851282-8, Lourdes, Chávez,Bogotá,Colombia,20/7/1983,Soltero,$14K-$18K,F,1,0,Educación Secundaria Completa,21/9/2022,Frescura,Profesional,No
20,306788928950-4, Ángela, Valencia,Bogotá,Colombia,16/4/2004,Soltero,$2K-$6K,F,2,0,Educación Secundaria Incompleta,4/2/2023,Básica,Operativa Básica,Si
